@relation lda

@attribute topic0 numeric
@attribute topic1 numeric
@attribute topic2 numeric
@attribute topic3 numeric
@attribute topic4 numeric
@attribute topic5 numeric
@attribute topic6 numeric
@attribute topic7 numeric
@attribute topic8 numeric
@attribute topic9 numeric
@attribute classLabel {1.0, 2.0, 3.0, 4.0}
@data
0.0708513680455,0.013255519975,0.0169193622285,0.403958084262,0.14137321511,0.0381724571021,0.0148692374028,0.144046277767,0.0102230735374,0.14633140457,1.0
0.00555798303597,0.00555867307209,0.00555838176693,0.20043056869,0.149886852112,0.00555839676287,0.00555811524552,0.0539995324142,0.562333787527,0.00555770937353,1.0
0.0742646346625,0.0,0.0373746228794,0.0588653290464,0.0268554844879,0.119420313363,0.0524998343425,0.367295571316,0.0,0.263424209902,1.0
0.0142868711985,0.470472949408,0.0142865060214,0.0142869072995,0.01428572572,0.0142861136159,0.0142872007966,0.415232912473,0.0142869958126,0.0142878176547,1.0
0.0250079780372,0.0250006930234,0.0250099890354,0.0250032117513,0.0250022481147,0.0250045496186,0.0250004591334,0.496636853815,0.0250003742362,0.303333643235,1.0
0.0,0.0693311794274,0.0,0.398602606099,0.0,0.144251790897,0.0,0.34588771422,0.0,0.0419267093563,1.0
0.0,0.0,0.0,0.0,0.0,0.207883780409,0.0,0.792116219591,0.0,0.0,1.0
0.280320071453,0.0,0.344119361585,0.0,0.0,0.0,0.0,0.156397471161,0.219163095801,0.0,1.0
0.0354071757479,0.024875454542,0.0,0.0615181769251,0.0816378694046,0.208458871911,0.102852076545,0.426436748064,0.0316086192391,0.0272050076216,1.0
0.429486194298,0.0,0.294822010327,0.0,0.0,0.0,0.0,0.121219201198,0.154472594178,0.0,1.0
0.0,0.17820986235,0.0,0.0,0.0676032580416,0.151714464364,0.126313614273,0.476158800971,0.0,0.0,1.0
0.111752069865,0.0909315375819,0.0,0.14309787845,0.0,0.109765970417,0.0,0.544452543687,0.0,0.0,1.0
0.332132115539,0.219895967272,0.0,0.0433316389181,0.0,0.0794269145715,0.0409395944255,0.206901683884,0.0,0.0773720853906,1.0
0.137755996019,0.0,0.164494658567,0.0608418355741,0.0319102500799,0.0322040726644,0.0,0.274626994363,0.0,0.298166192732,1.0
0.0,0.0220423216798,0.0692337691703,0.113051588256,0.0865374165486,0.0842846663824,0.076729305089,0.135410066698,0.08393443613,0.328776430046,1.0
0.0,0.0,0.0,0.596572360943,0.0,0.126641879784,0.0,0.276785759273,0.0,0.0,1.0
0.0,0.200489648439,0.143241002545,0.0,0.144842261884,0.0750851489975,0.00989519113502,0.295521211841,0.0829168719225,0.0480086632361,1.0
0.132862254255,0.0,0.0771904483158,0.0,0.316032265068,0.146833739241,0.0,0.287968068931,0.0391132241882,0.0,1.0
0.0,0.0,0.0,0.295785178187,0.0,0.0,0.0,0.611668729222,0.0,0.0925460925907,1.0
